date,region,product,sales,units,customer_count,marketing_spend,churn
2025-01-01,North,Alpha,12500,210,98,1800,0
2025-01-02,South,Beta,9300,155,77,1400,1
2025-01-03,East,Alpha,14100,230,112,2100,0
2025-01-04,West,Gamma,7600,118,60,900,1
2025-01-05,North,Beta,13200,205,101,1750,0
2025-01-06,South,Alpha,10100,168,82,1500,0
2025-01-07,East,Gamma,15400,248,120,2300,0
2025-01-08,West,Beta,8200,126,64,1000,1
2025-01-09,North,Gamma,13900,221,108,1900,0
2025-01-10,South,Beta,9800,160,79,1450,1
2025-01-11,East,Alpha,16200,260,130,2500,0
2025-01-12,West,Gamma,7900,122,61,920,1
